"date","type","registration","operator","fat.","location","Var.7","pic","cat","occurence","year","passenger.x","passenger.y","passenger"
"06-NOV-1934","Junkers Ju-52/3mge","D-AVAN","Deutsche Reichsbahn-Gesellschaft","5","Gross-Rackit...",NA,NA,"A1",1,"1934",NA,NA,NA
"15-NOV-1934","de Havilland DH.86 Express","VH-USG","Qantas","4","Ilfracombe, QLD",NA,NA,"A1",1,"1934",NA,NA,NA
"10-DEC-1934","Ford 4-AT-E Tri-Motor","NM-7","Cubana","4","Palma Soriano",NA,NA,"A1",1,"1934",NA,NA,NA
"19-DEC-1934","Curtiss AT-32B Condor II","NC12395","American Airways",NA,"Buffalo, NY",NA,NA,"A1",1,"1934",NA,NA,NA
"20-DEC-1934","Douglas DC-2-115A","PH-AJU","KLM","7","Rutbah Wells",NA,NA,"A1",1,"1934",NA,NA,NA
"28-DEC-1934","Curtiss T-32C Condor II","NC12363","American Airways","0","Wilmurt, NY",NA,NA,"A1",1,"1934",NA,NA,NA
"??-???-1934","Ford 4-AT-B Tri-Motor","NC9609","Private","0","Boca Chica, ...",NA,NA,"O1",1,"1934",NA,NA,NA
"23-JAN-1935","Curtiss T-32 Condor II","NC12376","Eastern Air Transport","","Atlanta, GA",NA,NA,"A1",1,"1935",NA,NA,NA
"31-JAN-1935","Junkers Ju-52/3mge","D-AREN","Deruluft","11","Szczecin",NA,NA,"A1",1,"1935",NA,NA,NA
"16-APR-1935","Consolidated 16 Commodore","NC660M","Pan Am","0","Miami, FL",NA,NA,"O1",1,"1935",NA,NA,NA
"25-APR-1935","Junkers Ju-52/3mho","D-AJYR","Deutsche Lufthansa","3","Hallgarten",NA,NA,"A1",1,"1935",NA,NA,NA
"28-APR-1935","Ford 4-AT-B Tri-Motor","NC7863","Private","0","Gadsden, AL",NA,NA,"A1",1,"1935",NA,NA,NA
"06-MAY-1935","Douglas DC-2-112","NC13785","TWA","5","Atlanta, MO",NA,NA,"A1",1,"1935",NA,NA,NA
"07-MAY-1935","Ford 4-AT-.  Tri-Motor","","private","1","Lake Izabal",NA,NA,"A1",1,"1935",NA,NA,NA
"18-MAY-1935","Tupolev ANT-20 Maxim Gorky","CCCP-I20","Tupolev","35+ 9","Moscow",NA,NA,"A1",1,"1935",NA,NA,NA
"18-MAY-1935","Ford 4-AT-E Tri-Motor","NC7864","Knowles Flying Service","3","Flint-Bishop...",NA,NA,"A1",1,"1935",NA,NA,NA
"22-JUN-1935","Savoia-Marchetti S-66","I-NAVE","Ala Littoria","0","Marsaxlokk Bay",NA,NA,"A1",1,"1935",NA,NA,NA
"24-JUN-1935","Ford 5-AT-B Tri-Motor","F-31","SACO","10","Medellín-Enr...",NA,NA,"A1",1,"1935",NA,NA,NA
"24-JUN-1935","Ford 5-AT-D Tri-Motor","C-31","SCADTA","7","Medellín-Enr...",NA,NA,"A1",1,"1935",NA,NA,NA
"09-JUL-1935","Savoia-Marchetti S-66","I-REDI","Ala Littoria","0","Mahón, Menorca",NA,NA,"A1",1,"1935",NA,NA,NA
"14-JUL-1935","Fokker F.XXII","PH-AJQ","KLM","6","Amsterdam-Sc...",NA,NA,"A1",1,"1935",NA,NA,NA
"17-JUL-1935","Douglas DC-2-115E","PH-AKM","KLM","0","Bushehr (Bus...",NA,NA,"A1",1,"1935",NA,NA,NA
"20-JUL-1935","Douglas DC-2-115E","PH-AKG","KLM","13","Pian San Gia...",NA,NA,"A1",1,"1935",NA,NA,NA
"27-JUL-1935","Curtiss AT-32B Condor II","NC12393","American Airways","0","Murfreesboro...",NA,NA,"A1",1,"1935",NA,NA,NA
"03-AUG-1935","Douglas DC-2-112","NC13722","TWA","0","Albuquerque, NM",NA,NA,"A1",1,"1935",NA,NA,NA
"02-OCT-1935","de Havilland DH.86 Express","VH-URT","Holyman's Airways","5","Flinders Isl...",NA,NA,"A1",1,"1935",NA,NA,NA
"06-OCT-1935","Douglas DC-2A-127","NC14285","Standard Oil Company","3","Great Salt L...",NA,NA,"A1",1,"1935",NA,NA,NA
