"","date","type","registration","operator","fat.","location","Var.7","pic","cat","occurence"
"16204","16-AUG-1993","Cessna 208B Super Cargomaster","N1037D","Aviation & Services Europe","1","Valensole",NA,NA,"A1",1
"16205","16-AUG-1993","Antonov An-2","","ROSTO Yegoryevsky","2","Yegoryevsk-S...",NA,NA,"A1",1
"16206","17-AUG-1993","Swearingen SA226-TC Metro II","N220KC","Aviation Services","2","Hartford-Bra...",NA,NA,"A1",1
"16207","18-AUG-1993","DC-8-61","N814CK","Connie Kalitta","0","Guantánamo N...",NA,NA,"A1",1
"16208","19-AUG-1993","DHC-3 Otter","N321KA","Ketchum Air Service","0","Iliamna, AK",NA,NA,"A1",1
"16209","20-AUG-1993","Antonov An-12TB","RA-11375","Komi Avia","0","Slavgorod",NA,NA,"A1",1
"16210","22-AUG-1993","Canadair CL-215","1064","Hellenic AF","2","Pátras",NA,NA,"A1",1
"16211","23-AUG-1993","Antonov An-12","","Russian AF","6","Krasnoslobod...",NA,NA,"A1",1
"16212","26-AUG-1993","Cessna 208A Caravan I","PT-OGN","TAM","0","Sinop Airpor...",NA,NA,"H1",1
"16213","26-AUG-1993","Dassault Falcon 10","F-BYCV","BAC Inc.","0","Hailey-Fried...",NA,NA,"A1",1
"16214","26-AUG-1993","Let L-410UVP-E","RA-67656","Sakha Avia","24","Aldan Airpor...",NA,NA,"A1",1
"16215","27-AUG-1993","Boeing 737-2R4C","","Alyemda","0","Al Ghaydah A...",NA,NA,"H2",1
"16216","28-AUG-1993","Antonov An-26","RA-26549","Magnitogorsk Avia","0","Donetsk Airp...",NA,NA,"A1",1
"16217","28-AUG-1993","Antonov An-28","HA-LAJ","Hungarian Aeronautical Ass.","0","Weston on th...",NA,NA,"A1",1
"16218","28-AUG-1993","Yakovlev Yak-40","87995","Tajikistan Airlines","82","Khorog",NA,NA,"A1",1
"16219","31-AUG-1993","Cessna F406 Caravan II","F-GJLH","Private","0","Strasbourg",NA,NA,"A1",1
"16220","31-AUG-1993","Douglas R4D-5 (DC-3)","HK-3220","Transoriente Colombia","2","Barrancomina...",NA,NA,"A1",1
"16221","31-AUG-1993","Curtiss C-46F","HK-400","Aerosol","0","La Colina Ai...",NA,NA,"A1",1
"16222","01-SEP-1993","Tupolev Tu-154","","Aeroflot","0","Vladivostok ...",NA,NA,"H2",1
"16223","02-SEP-1993","Learjet 25D","XA-NOG","TAESA","0","Tijuana-Rodr...",NA,NA,"A1",1
"16224","03-SEP-1993","North-American-Rockwell Sabreliner","OB-1319","Aero Condor","0","Buenos Aires...",NA,NA,"A1",1
"16225","05-SEP-1993","Boeing 727-281","HI-617CA","Dominicana","0","Santo Doming...",NA,NA,"A1",1
"16226","05-SEP-1993","Learjet 25D","N999BH","Cambridge Aviation","7","Pecos, NM",NA,NA,"A1",1
"16227","06-SEP-1993","Cessna 208 Caravan I","VT-AAN","Andaman and Nicobar Adm.","1","Port Blair",NA,NA,"A1",1
"16228","07-SEP-1993","Hawker Siddeley HS-748","PK-OBV","Airfast Indonesia","0","Tanahmerah A...",NA,NA,"A1",1
"16229","12-SEP-1993","Boeing 747-428","F-GITA","Air France","0","Papeete-Faaa...",NA,NA,"A2",1
"16230","13-SEP-1993","Curtiss C-46A","CP-1848","Frigorifico Santa Rita","0","Angora",NA,NA,"A1",1
"16231","14-SEP-1993","Convair CV-440","CP-2256","SASA","0","Colquemarca",NA,NA,"A1",1
"16232","14-SEP-1993","Piaggio PD.808TP","MM61953","Italian AF","3","Venice-Marco...",NA,NA,"A1",1
"16233","14-SEP-1993","Airbus A320-211","D-AIPN","Lufthansa","2","Warszawa-Oke...",NA,NA,"A1",1
"16234","15-SEP-1993","Tupolev Tu-134","","Aeroflot","0","Kiev, Oslo",NA,NA,"H2",1
"16235","15-SEP-1993","Antonov An-2R","CCCP-07624","Far East Airlines",NA,"Vladivostok",NA,NA,"A1",1
"16236","19-SEP-1993","Swearingen SA227-AC Metro III","F-GILN","Airlec","0","Troyes-Barbe...",NA,NA,"A1",1
"16237","20-SEP-1993","Tupolev Tu-134A","65809","Orbi Georgian Airways","0","Sukhumi-Babu...",NA,NA,"C1",1
"16238","21-SEP-1993","Tupolev Tu-134A","65893","Transair Georgia","27","Sukhumi-Babu...",NA,NA,"C1",1
"16239","22-SEP-1993","Tupolev Tu-154B","85163","Orbi Georgian Airways","108","Sukhumi-Babu...",NA,NA,"C1",1
"16240","23-SEP-1993","Tupolev Tu-154B-2","85359","Orbi Georgian Airways",NA,"Sukhumi-Babu...",NA,NA,"C1",1
"16241","23-SEP-1993","Tupolev Tu-134A","CCCP-65001","Transair Georgia","1","Sukhumi-Babu...",NA,NA,"C1",1
"16242","25-SEP-1993","Antonov An-12TB","RA-13387","MAP Rostov VPO","0","Tyumen Airpo...",NA,NA,"A1",1
"16243","26-SEP-1993","Antonov An-2R","RA-68150","Aeroflot / North Kavkaz",NA,"Novoalekseev...",NA,NA,"A1",1
"16244","29-SEP-1993","Dassault Falcon 10","F-GJGB","Chaillotine Air Service","2","Besançon-La ...",NA,NA,"A1",1
"16245","30-SEP-1993","Tupolev Tu-154M","B-2822 ?","Sichuan Airlines","0","Taipei-Chian...",NA,NA,"H2",1
"16246","??-SEP-1993","DHC-5D Buffalo","9T-CBB","Zaire AF",NA,"Kinshasa-N'D...",NA,NA,"U1",1
"16247","01-OCT-1993","FMA IA 50 Guaraní II","T-119","Argentine AF","11","Gobernador C...",NA,NA,"A1",1
